Station ID,Time,Temperature,Relative Humidity,Wind Direction,Wind Speed,Rain Fall,Visibility
58015,20220321004501,8.2,1001.4,18,47,5.8,0.1,10322.7
58102,20220321004501,21.7,1013.3,50,1,13.6,0.8,10336.0
58118,20220321004501,24.1,1019.8,39,203,14.7,0.7,10331.9
58122,20220321004501,14.0,1004.7,57,238,4.4,1.5,10488.7
58203,20220321004501,16.2,1004.3,79,343,13.7,1.2,10460.6
58215,20220321004501,17.6,1004.3,88,211,4.8,1.2,10107.6
58221,20220321004501,18.7,1016.9,84,111,14.4,0.1,10102.4
58225,20220321004501,34.6,1012.9,90,126,3.9,0.9,10017.8
58236,20220321004501,24.2,1007.5,84,357,9.3,0.2,10342.4
58311,20220321004501,28.6,1025.8,16,201,1.3,1.4,10340.3
58314,20220321004501,24.1,1026.2,57,57,10.8,1.5,10129.4
58319,20220321004501,33.1,1013.2,28,228,10.9,0.1,10166.9
58321,20220321004501,10.3,1022.9,72,73,5.9,0.2,10006.2
58326,20220321004501,6.4,1023.3,55,8,12.8,1.3,10104.9
58336,20220321004501,14.4,1004.8,54,284,6.7,0.5,10464.4
58338,20220321004501,2.5,1016.5,15,330,11.4,0.9,10031.9
58414,20220321004501,16.0,1025.7,57,333,12.7,1.5,10066.5
58419,20220321004501,10.3,1002.4,21,113,10.4,0.7,10048.5
58424,20220321004501,16.4,1008.1,55,126,12.0,0.7,10167.7
58429,20220321004501,22.9,1025.1,85,145,11.8,1.4,10054.4
58436,20220321004501,20.3,1025.9,78,66,0.6,0.9,10430.1
58437,20220321004501,17.5,1008.8,43,72,4.9,1.1,10197.7
58520,20220321004501,7.8,1000.5,52,26,8.6,1.3,10431.4
58531,20220321004501,34.4,1017.3,97,356,8.1,1.2,10392.7
54406,20220321004501,13.1,1018.1,9,343,12.5,0.9,10076.1
54416,20220321004501,20.1,1006.3,26,197,8.3,0.0,10115.5
54511,20220321004501,30.3,1003.6,59,256,12.3,0.9,10436.3
58725,20220321004501,21.2,1021.4,40,258,8.4,1.5,10276.6
58730,20220321004501,17.5,1007.3,28,207,14.9,0.3,10154.4
58731,20220321004501,11.6,1013.7,97,119,14.2,0.1,10072.8
58734,20220321004501,5.3,1016.6,70,320,2.4,0.0,10056.7
58737,20220321004501,25.2,1000.8,24,229,6.2,1.4,10153.4
58744,20220321004501,18.8,1014.8,94,274,11.8,0.8,10018.8
58754,20220321004501,12.9,1007.4,89,315,8.3,0.0,10293.4
58818,20220321004501,33.1,1013.9,36,15,0.1,0.0,10473.8
58820,20220321004501,8.8,1012.8,17,105,13.2,0.3,10252.7
58834,20220321004501,6.3,1019.7,14,295,10.2,1.0,10387.0
58837,20220321004501,24.4,1020.2,47,299,14.3,1.0,10486.3
58843,20220321004501,24.5,1018.5,93,225,8.2,0.7,10246.2
58846,20220321004501,4.1,1013.1,82,190,2.6,0.1,10439.0
58847,20220321004501,15.9,1009.9,22,277,9.3,1.0,10244.2
58911,20220321004501,23.4,1022.4,66,17,2.6,1.5,10436.0
58918,20220321004501,31.3,1013.8,43,207,7.0,0.2,10145.1
58921,20220321004501,10.1,1024.6,71,167,10.2,0.3,10285.7
58926,20220321004501,23.9,1022.5,34,309,14.1,0.3,10002.3
58927,20220321004501,11.1,1014.8,3,39,13.8,0.3,10259.1
58931,20220321004501,9.5,1017.5,5,236,3.0,0.6,10284.9
58933,20220321004501,10.4,1016.8,41,185,9.9,1.4,10137.0
58936,20220321004501,16.9,1004.3,92,343,11.6,0.4,10052.7
58944,20220321004501,12.8,1005.3,75,312,12.7,0.4,10147.1
59113,20220321004501,13.4,1008.7,73,31,7.8,0.4,10396.9
59126,20220321004501,19.3,1003.5,4,351,1.0,0.3,10019.9
59133,20220321004501,26.9,1024.6,63,76,1.9,0.9,10216.6
59134,20220321004501,16.5,1002.1,77,33,6.7,1.4,10420.4
59321,20220321004501,16.2,1014.9,13,233,7.6,0.0,10301.6
52323,20220321004501,27.5,1014.8,17,307,9.0,1.1,10046.4
52418,20220321004501,26.3,1002.9,52,163,2.0,0.5,10495.0
52424,20220321004501,23.3,1000.8,83,317,0.2,1.0,10452.7
52436,20220321004501,24.3,1014.1,60,315,14.2,0.0,10156.2
52446,20220321004501,28.5,1004.3,25,19,2.1,0.8,10123.0
52447,20220321004501,26.5,1014.1,81,105,7.8,0.4,10410.3
52533,20220321004501,18.0,1020.0,12,62,1.6,1.4,10142.4
52546,20220321004501,4.2,1003.9,43,229,11.7,1.0,10111.8
52652,20220321004501,24.5,1025.1,85,252,13.6,0.8,10094.7
52661,20220321004501,25.4,1001.3,62,13,1.6,1.3,10427.7
52674,20220321004501,23.0,1012.5,20,177,7.3,1.5,10322.4
52679,20220321004501,19.4,1025.9,12,279,13.3,1.4,10483.1
52681,20220321004501,27.0,1023.0,5,164,8.8,0.8,10120.3
52787,20220321004501,11.3,1003.7,12,284,0.7,1.2,10274.9
52797,20220321004501,25.6,1022.8,50,252,14.3,0.4,10456.9
52884,20220321004501,26.1,1005.3,62,185,3.2,0.8,10274.2
52895,20220321004501,25.3,1006.0,65,341,14.2,0.8,10400.6
52983,20220321004501,16.4,1015.2,87,357,6.5,0.1,10173.7
52984,20220321004501,24.4,1012.4,52,320,4.2,1.2,10456.3
52986,20220321004501,21.2,1018.1,95,42,7.4,1.5,10247.5
52996,20220321004501,33.6,1005.7,77,355,1.2,0.0,10077.5
53821,20220321004501,26.7,1020.5,34,69,2.7,0.3,10400.8
53915,20220321004501,16.7,1007.9,41,149,9.3,1.5,10432.7
53923,20220321004501,30.3,1010.6,95,342,6.7,0.5,10473.5
56074,20220321004501,4.0,1018.1,37,142,7.8,0.0,10185.4
56080,20220321004501,16.7,1003.8,78,200,12.3,0.3,10260.9
56093,20220321004501,9.4,1004.4,89,205,5.3,0.4,10112.0
56096,20220321004501,25.5,1014.3,37,25,7.1,1.0,10059.3
57014,20220321004501,23.7,1014.1,37,294,7.0,1.2,10140.0
57996,20220321004501,26.5,1017.8,71,43,9.9,1.5,10439.0
59072,20220321004501,21.9,1018.2,38,185,4.7,0.9,10281.9
59082,20220321004501,4.1,1026.2,90,43,13.0,0.1,10235.1
59087,20220321004501,13.7,1017.8,49,84,8.1,0.5,10075.9
59088,20220321004501,2.5,1019.9,20,120,0.0,0.5,10236.6
59096,20220321004501,20.4,1021.3,92,313,10.1,0.8,10129.4
59097,20220321004501,7.1,1008.0,75,164,11.4,0.3,10189.9
59107,20220321004501,19.4,1020.6,49,70,10.1,0.8,10029.0
59116,20220321004501,32.6,1018.3,74,244,4.5,0.4,10245.9
59117,20220321004501,33.0,1009.8,32,136,7.2,0.6,10371.0
59271,20220321004501,4.5,1009.9,69,357,11.1,0.6,10052.1
59278,20220321004501,4.9,1001.8,42,244,10.1,0.5,10347.0
59280,20220321004501,29.8,1023.9,70,316,12.5,1.1,10403.4
59287,20220321004501,18.8,1014.4,57,327,7.3,1.2,10286.0
59289,20220321004501,25.4,1026.1,33,324,2.3,1.3,10468.6
59293,20220321004501,15.0,1003.2,35,254,5.7,1.1,10063.9
59294,20220321004501,12.5,1019.1,13,52,5.8,1.0,10435.7
59298,20220321004501,29.4,1012.4,22,203,2.0,0.6,10211.4
59303,20220321004501,18.1,1024.7,86,12,14.0,0.1,10302.7
59304,20220321004501,23.2,1013.0,70,102,12.0,1.2,10059.6
59306,20220321004501,22.8,1023.1,7,28,10.0,0.2,10276.6
59310,20220321004501,25.7,1020.4,54,191,8.5,0.3,10030.2
59316,20220321004501,19.6,1016.4,69,251,8.1,0.5,10130.0
59317,20220321004501,2.9,1025.7,65,197,14.5,1.0,10128.6
59324,20220321004501,11.2,1007.5,8,14,12.3,1.3,10358.0
59456,20220321004501,30.7,1016.8,88,283,9.0,1.2,10479.4
59462,20220321004501,7.9,1019.4,73,3,12.8,0.8,10349.8
59478,20220321004501,18.9,1014.0,32,235,1.8,0.7,10086.4
59485,20220321004501,3.1,1009.3,64,240,7.3,0.2,10271.4
59488,20220321004501,15.8,1019.8,10,202,11.8,0.4,10397.5
59493,20220321004501,27.1,1014.0,33,144,1.0,1.3,10399.4
59501,20220321004501,3.7,1010.2,55,324,9.3,0.1,10446.2
59658,20220321004501,22.5,1012.0,64,56,12.0,1.0,10305.3
59663,20220321004501,32.3,1019.8,83,263,8.1,1.5,10288.7
59664,20220321004501,5.6,1006.1,24,220,3.2,0.8,10325.4
59673,20220321004501,21.1,1009.8,16,156,11.0,1.0,10434.7
59754,20220321004501,34.1,1019.9,32,276,9.6,1.4,10120.0
57947,20220321004501,21.4,1011.0,1,193,12.0,1.1,10376.0
57957,20220321004501,34.2,1000.3,26,145,12.2,0.1,10478.1
57958,20220321004501,24.7,1012.2,14,150,2.0,0.0,10392.5
59021,20220321004501,30.8,1024.2,80,326,1.4,0.2,10109.2
59023,20220321004501,6.2,1013.2,100,49,2.9,0.3,10002.1
59027,20220321004501,15.6,1011.6,3,253,6.7,1.2,10322.7
59037,20220321004501,20.4,1012.4,76,305,13.8,1.2,10344.4
59046,20220321004501,10.5,1009.4,86,332,7.1,1.2,10088.7
59058,20220321004501,34.0,1024.4,86,248,8.6,1.2,10231.7
59065,20220321004501,31.6,1013.5,25,175,7.4,1.4,10183.0
59209,20220321004501,10.5,1009.6,80,30,8.7,1.5,10022.5
59211,20220321004501,10.6,1023.8,75,337,1.2,0.7,10229.7
59218,20220321004501,20.2,1015.6,13,101,5.5,1.3,10173.3
59228,20220321004501,24.3,1021.3,52,188,12.1,0.3,10157.7
59242,20220321004501,24.6,1006.3,98,358,6.2,0.4,10477.5
59254,20220321004501,28.2,1020.1,48,209,12.5,0.9,10003.4
59265,20220321004501,21.0,1011.2,53,295,11.0,0.1,10102.5
59417,20220321004501,31.3,1015.9,23,50,10.0,0.1,10078.8
59431,20220321004501,18.0,1009.5,96,280,10.6,0.4,10141.2
59446,20220321004501,32.1,1002.8,31,61,10.2,0.5,10102.7
59453,20220321004501,14.0,1018.2,74,258,13.6,0.9,10213.6
59626,20220321004501,30.1,1011.7,48,74,10.9,0.9,10326.9
59631,20220321004501,19.7,1023.0,45,114,9.5,0.7,10129.4
59632,20220321004501,31.5,1012.0,65,31,5.5,0.2,10085.5
59644,20220321004501,1.9,1024.3,48,346,7.7,1.2,10136.7
59647,20220321004501,6.0,1000.6,4,190,13.8,0.6,10111.5
56691,20220321004501,16.7,1008.1,3,290,1.6,0.2,10121.4
56693,20220321004501,4.0,1003.1,99,335,12.6,0.6,10281.2
56792,20220321004501,34.3,1020.3,33,39,3.1,0.7,10000.7
56793,20220321004501,12.9,1013.0,83,224,4.8,0.5,10291.6
57606,20220321004501,25.9,1000.7,12,148,0.9,0.5,10173.1
57614,20220321004501,28.6,1024.3,44,279,10.4,0.1,10005.1
57625,20220321004501,8.7,1001.1,43,44,6.6,1.0,10409.8
57647,20220321004501,33.5,1003.2,33,228,10.7,0.3,10395.0
57707,20220321004501,22.1,1001.2,20,146,9.0,1.0,10453.9
57710,20220321004501,33.4,1002.3,85,116,11.3,0.7,10331.5
57712,20220321004501,5.6,1015.3,72,260,13.1,0.9,10126.2
57718,20220321004501,20.6,1024.8,72,17,10.0,0.0,10365.4
57722,20220321004501,11.0,1022.6,91,257,7.3,1.3,10348.7
57729,20220321004501,29.9,1001.4,98,246,14.2,1.4,10120.4
57731,20220321004501,31.8,1000.3,12,255,13.6,1.0,10349.9
57741,20220321004501,21.1,1024.1,45,337,4.6,0.8,10039.6
57803,20220321004501,31.4,1004.7,73,316,9.5,1.1,10435.7
57805,20220321004501,30.9,1016.1,90,294,2.2,0.3,10472.9
57806,20220321004501,18.6,1024.8,48,224,13.6,1.4,10301.1
57816,20220321004501,5.2,1010.1,80,164,14.7,0.0,10246.0
57825,20220321004501,18.7,1026.4,29,212,6.8,0.0,10499.2
57827,20220321004501,4.9,1021.7,75,113,14.6,0.0,10345.6
57832,20220321004501,4.9,1015.0,73,317,12.8,0.3,10264.4
57839,20220321004501,32.7,1007.2,13,199,12.8,0.8,10292.1
57840,20220321004501,3.7,1003.5,98,303,1.4,0.1,10068.0
57902,20220321004501,21.8,1020.5,17,139,9.9,0.2,10163.2
57906,20220321004501,10.5,1024.3,53,38,6.3,0.0,10239.8
57907,20220321004501,5.9,1002.7,17,268,7.9,1.2,10404.4
57910,20220321004501,20.6,1002.7,36,70,14.4,0.1,10300.4
57912,20220321004501,25.8,1010.7,30,44,9.4,0.5,10126.9
57916,20220321004501,25.4,1015.4,29,251,14.8,0.8,10287.8
57922,20220321004501,25.9,1006.1,17,65,0.5,0.4,10327.7
57926,20220321004501,28.0,1013.5,65,97,13.9,0.8,10347.0
57932,20220321004501,11.9,1020.4,53,134,0.3,0.5,10387.9
59758,20220321004501,26.6,1024.8,35,194,2.0,0.6,10077.3
59838,20220321004501,25.3,1004.4,100,123,0.2,1.1,10404.0
59845,20220321004501,24.8,1011.0,6,355,6.5,0.2,10329.9
59849,20220321004501,28.2,1022.9,32,248,11.5,1.5,10278.1
59855,20220321004501,2.8,1001.2,27,6,9.7,0.4,10069.0
59948,20220321004501,10.2,1008.7,51,29,7.1,0.5,10292.2
59954,20220321004501,29.1,1021.6,62,314,11.6,1.5,10079.3
59981,20220321004501,20.3,1013.1,26,160,1.5,0.4,10111.6
53399,20220321004501,29.2,1025.1,16,300,6.0,0.9,10260.6
53593,20220321004501,0.8,1023.9,32,297,3.3,0.1,10170.1
53698,20220321004501,7.2,1024.4,41,282,5.1,1.3,10435.3
53798,20220321004501,7.5,1006.7,50,153,11.3,0.2,10104.3
54308,20220321004501,17.1,1021.2,74,182,7.4,0.9,10213.9
54311,20220321004501,20.6,1026.2,83,194,8.8,0.9,10076.5
54401,20220321004501,8.6,1023.9,92,60,3.3,1.1,10027.0
54405,20220321004501,24.3,1007.1,84,56,5.9,1.2,10259.2
54423,20220321004501,21.8,1007.7,7,307,9.1,1.1,10367.2
54429,20220321004501,2.1,1006.7,85,82,5.7,0.2,10354.3
54436,20220321004501,25.7,1009.2,21,281,13.3,1.1,10335.3
54449,20220321004501,2.2,1017.4,16,273,3.1,1.4,10411.8
54518,20220321004501,9.7,1019.8,23,126,9.2,0.4,10328.7
54534,20220321004501,26.4,1003.9,96,311,3.4,0.7,10051.6
54535,20220321004501,31.0,1002.8,2,18,8.2,1.4,10445.8
54539,20220321004501,27.5,1015.0,13,133,8.0,1.2,10236.5
54602,20220321004501,18.6,1011.0,48,155,11.3,0.1,10073.2
54606,20220321004501,6.8,1024.9,100,223,0.9,1.4,10330.9
54618,20220321004501,14.3,1001.0,100,156,7.5,1.2,10417.4
54624,20220321004501,2.6,1025.9,91,146,1.0,1.0,10053.2
54705,20220321004501,16.2,1025.9,99,283,1.5,0.6,10238.9
53898,20220321004501,0.0,1014.2,84,310,11.7,1.0,10342.8
53986,20220321004501,13.6,1017.3,80,115,0.6,0.2,10101.3
57051,20220321004501,9.7,1009.0,90,275,0.5,1.5,10336.4
57067,20220321004501,18.9,1026.4,34,97,12.0,1.2,10213.0
57071,20220321004501,28.3,1022.0,23,120,9.9,0.9,10310.3
57077,20220321004501,17.5,1023.2,96,48,7.2,0.6,10092.2
57083,20220321004501,1.6,1007.2,87,24,13.2,0.8,10094.7
57084,20220321004501,21.3,1015.9,33,76,9.5,1.4,10130.1
57089,20220321004501,11.7,1015.5,78,155,8.0,1.1,10087.2
57091,20220321004501,8.1,1025.4,86,140,5.1,1.2,10216.8
57156,20220321004501,28.9,1009.6,25,216,6.0,1.0,10223.6
57178,20220321004501,2.8,1016.3,32,232,9.8,0.3,10089.2
57181,20220321004501,18.5,1000.1,55,221,13.1,1.2,10092.9
57193,20220321004501,0.8,1008.0,45,277,14.6,0.6,10290.8
57285,20220321004501,32.4,1025.4,50,155,12.1,0.5,10362.0
57290,20220321004501,1.3,1014.4,4,336,7.4,0.6,10154.5
57297,20220321004501,30.2,1011.8,3,200,13.5,0.8,10251.9
58005,20220321004501,21.3,1015.7,3,94,13.0,0.3,10413.3
58111,20220321004501,2.7,1025.9,81,46,9.3,0.1,10150.0
58208,20220321004501,33.8,1001.3,85,208,3.9,0.7,10090.7
50136,20220321004501,4.1,1025.2,86,270,13.0,1.5,10385.1
50246,20220321004501,29.3,1005.3,96,336,4.0,1.0,10294.7
50247,20220321004501,4.2,1007.2,54,169,2.6,0.5,10487.1
50349,20220321004501,9.3,1012.9,29,18,6.9,1.2,10415.1
50353,20220321004501,0.0,1006.3,63,94,8.0,0.4,10222.7
50442,20220321004501,22.6,1018.1,27,160,13.9,0.5,10288.4
50468,20220321004501,27.4,1013.6,39,64,6.8,0.7,10382.7
50557,20220321004501,14.3,1016.3,81,228,14.2,0.8,10401.8
50564,20220321004501,26.9,1002.2,97,132,12.5,1.0,10280.3
50656,20220321004501,24.2,1018.2,63,190,0.4,0.8,10474.3
50658,20220321004501,28.7,1021.5,71,165,3.3,1.2,10363.9
50674,20220321004501,25.5,1016.8,88,308,8.1,0.8,10364.5
50739,20220321004501,26.5,1016.8,27,217,0.1,1.4,10077.0
50742,20220321004501,4.6,1024.0,9,188,14.7,1.5,10058.9
50745,20220321004501,7.6,1007.4,13,175,2.1,1.4,10403.4
50756,20220321004501,20.8,1007.2,7,157,14.7,1.0,10481.3
50758,20220321004501,3.9,1024.2,27,293,9.2,0.0,10374.3
50774,20220321004501,26.1,1017.9,54,324,1.4,1.3,10024.6
50778,20220321004501,33.9,1013.4,75,65,4.6,0.2,10024.7
