Station ID,Time,Temperature,Relative Humidity,Wind Direction,Wind Speed,Rain Fall,Visibility
58015,20220321054446,33.7,1017.0,82,265,13.1,0.9,10129.0
58102,20220321054446,13.0,1014.8,77,263,10.5,0.2,10210.1
58118,20220321054446,8.4,1001.1,87,235,4.0,0.3,10186.0
58122,20220321054446,33.5,1011.7,30,36,10.8,0.6,10245.5
58203,20220321054446,0.2,1015.1,1,4,0.3,1.0,10338.2
58215,20220321054446,20.9,1018.4,1,139,7.9,0.9,10398.7
58221,20220321054446,34.7,1002.4,4,285,1.5,0.6,10198.7
58225,20220321054446,29.6,1007.5,36,0,13.0,0.4,10077.7
58236,20220321054446,11.6,1006.8,89,197,8.2,0.4,10293.4
58311,20220321054446,31.3,1017.2,44,62,14.3,1.2,10184.8
58314,20220321054446,34.0,1024.3,5,48,7.4,0.3,10426.3
58319,20220321054446,12.3,1017.6,7,159,2.9,0.5,10447.6
58321,20220321054446,24.4,1016.2,68,171,1.6,0.7,10200.6
58326,20220321054446,19.8,1023.1,82,25,2.0,0.1,10281.8
58336,20220321054446,0.2,1022.6,42,349,14.6,0.5,10111.7
58338,20220321054446,28.6,1024.3,23,83,11.0,0.0,10468.2
58414,20220321054446,33.2,1020.6,54,252,3.1,1.3,10447.4
58419,20220321054446,17.7,1007.6,84,69,12.4,0.8,10222.2
58424,20220321054446,9.2,1025.1,47,263,6.4,1.5,10069.0
58429,20220321054446,21.6,1005.6,2,122,9.4,1.1,10183.2
58436,20220321054446,2.2,1021.9,9,19,2.7,0.2,10331.4
58437,20220321054446,0.2,1022.0,59,179,6.3,1.3,10320.9
58520,20220321054446,21.5,1010.0,48,287,5.1,1.3,10078.4
58531,20220321054446,1.1,1015.7,55,198,2.0,1.1,10315.6
54406,20220321054446,9.7,1020.0,60,3,3.6,1.5,10397.7
54416,20220321054446,8.3,1007.6,79,76,11.8,1.2,10034.3
54511,20220321054446,10.4,1011.2,97,272,9.2,1.5,10240.4
58725,20220321054446,16.8,1024.8,62,213,2.0,1.5,10172.3
58730,20220321054446,11.9,1011.2,6,109,5.2,0.4,10004.4
58731,20220321054446,25.2,1008.3,59,47,6.7,0.4,10290.4
58734,20220321054446,24.5,1025.2,20,97,10.9,1.2,10050.7
58737,20220321054446,6.7,1000.6,1,170,0.0,0.5,10241.5
58744,20220321054446,2.1,1021.8,9,105,5.2,0.1,10181.4
58754,20220321054446,2.4,1007.6,11,186,11.4,1.2,10444.2
58818,20220321054446,5.6,1005.9,89,59,13.6,0.8,10320.8
58820,20220321054446,23.3,1016.8,31,280,3.9,0.6,10125.1
58834,20220321054446,32.7,1017.4,67,232,2.4,0.6,10316.1
58837,20220321054446,10.7,1019.1,56,174,12.2,1.3,10122.2
58843,20220321054446,17.2,1012.7,38,282,14.6,1.3,10379.2
58846,20220321054446,27.4,1007.5,83,1,1.5,0.0,10108.2
58847,20220321054446,6.7,1016.4,85,176,9.0,0.6,10042.6
58911,20220321054446,16.3,1019.7,90,34,2.0,0.8,10292.1
58918,20220321054446,19.5,1019.3,13,214,5.1,0.9,10064.3
58921,20220321054446,28.2,1001.1,51,134,11.4,0.0,10249.3
58926,20220321054446,24.9,1013.1,50,334,9.0,0.5,10253.4
58927,20220321054446,8.0,1005.8,92,108,1.2,0.1,10215.6
58931,20220321054446,29.1,1024.9,75,198,9.3,1.4,10238.3
58933,20220321054446,16.0,1017.7,21,55,6.3,1.0,10088.6
58936,20220321054446,10.2,1008.3,50,359,0.4,1.4,10485.4
58944,20220321054446,22.5,1007.6,77,170,6.4,0.4,10083.4
59113,20220321054446,32.7,1006.5,77,132,13.4,0.2,10159.3
59126,20220321054446,21.2,1001.8,55,235,7.5,0.2,10237.6
59133,20220321054446,18.7,1016.1,5,270,5.9,1.3,10357.8
59134,20220321054446,18.5,1021.6,75,75,3.4,0.7,10156.5
59321,20220321054446,22.3,1023.5,28,100,13.0,0.7,10302.8
52323,20220321054446,33.0,1019.8,35,244,14.3,0.0,10019.7
52418,20220321054446,1.4,1006.8,43,100,11.9,1.1,10395.8
52424,20220321054446,27.9,1006.2,60,257,5.6,1.0,10268.4
52436,20220321054446,8.1,1001.2,10,151,1.4,1.2,10192.5
52446,20220321054446,29.1,1016.6,16,250,14.6,0.5,10321.2
52447,20220321054446,22.6,1017.8,27,229,6.2,0.8,10007.1
52533,20220321054446,32.0,1019.9,1,14,12.4,1.1,10176.6
52546,20220321054446,21.3,1010.2,28,202,8.4,1.2,10268.6
52652,20220321054446,26.0,1004.9,90,54,1.7,0.1,10315.8
52661,20220321054446,2.2,1025.8,12,84,5.2,1.3,10465.7
52674,20220321054446,19.2,1020.5,84,339,7.9,0.7,10451.8
52679,20220321054446,8.6,1014.8,30,45,14.6,0.5,10302.6
52681,20220321054446,10.4,1006.0,75,201,12.2,1.5,10270.4
