Station ID,Time,Temperature,Relative Humidity,Wind Direction,Wind Speed,Rain Fall,Visibility
58015,20220321054436,6.0,1020.9,78,240,9.7,0.6,10067.3
58102,20220321054436,27.8,1018.1,68,119,8.3,0.1,10230.3
58118,20220321054436,21.9,1004.4,11,157,7.1,0.2,10396.7
58122,20220321054436,7.8,1017.3,42,277,13.8,0.9,10216.1
58203,20220321054436,28.0,1013.3,58,224,7.7,0.3,10404.6
58215,20220321054436,19.0,1024.2,34,135,0.3,1.2,10395.8
58221,20220321054436,14.3,1022.0,23,333,10.0,0.8,10145.7
58225,20220321054436,22.0,1013.2,98,253,1.7,0.6,10129.9
58236,20220321054436,25.8,1010.2,3,212,4.5,1.5,10006.7
58311,20220321054436,34.5,1003.6,34,221,4.4,0.2,10317.9
58314,20220321054436,12.0,1017.5,56,28,5.5,1.4,10196.3
58319,20220321054436,1.5,1014.2,65,10,13.5,0.5,10187.9
58321,20220321054436,12.0,1022.4,19,52,1.3,1.2,10097.6
58326,20220321054436,3.8,1001.9,74,23,8.2,1.0,10050.3
58336,20220321054436,12.1,1001.9,34,188,4.4,0.4,10341.2
58338,20220321054436,29.3,1016.8,30,299,8.3,0.6,10211.4
58414,20220321054436,34.7,1016.9,99,114,11.3,0.8,10199.7
58419,20220321054436,6.5,1021.6,73,58,12.7,1.3,10111.4
58424,20220321054436,14.3,1007.4,11,58,12.8,0.7,10453.7
58429,20220321054436,5.7,1012.5,87,197,10.6,1.5,10239.0
58436,20220321054436,19.5,1021.3,83,9,12.3,1.2,10381.0
58437,20220321054436,12.3,1001.1,71,107,14.4,1.0,10281.5
58520,20220321054436,6.4,1023.5,84,322,4.4,1.3,10462.8
58531,20220321054436,21.5,1004.5,39,299,12.7,0.8,10222.8
54406,20220321054436,2.6,1021.7,70,84,10.5,1.5,10279.0
54416,20220321054436,34.2,1009.4,18,239,13.5,0.3,10399.7
54511,20220321054436,20.1,1010.4,45,182,2.4,0.7,10436.8
58725,20220321054436,6.2,1008.7,6,322,11.4,1.5,10126.8
58730,20220321054436,28.9,1018.2,23,197,6.4,1.5,10112.7
58731,20220321054436,33.2,1010.5,36,52,8.1,0.8,10079.8
58734,20220321054436,5.4,1014.3,58,127,7.7,1.3,10314.7
58737,20220321054436,21.5,1014.0,86,221,10.4,0.2,10019.7
58744,20220321054436,10.1,1012.3,11,272,6.0,0.4,10475.0
58754,20220321054436,15.8,1018.8,91,247,7.5,0.5,10343.5
58818,20220321054436,21.6,1025.6,75,34,7.7,1.2,10454.2
58820,20220321054436,19.6,1002.2,75,338,11.8,1.1,10344.9
58834,20220321054436,18.9,1016.7,48,343,9.0,0.5,10268.5
58837,20220321054436,18.1,1017.9,45,348,2.2,0.2,10136.4
58843,20220321054436,19.1,1012.9,32,207,4.7,0.5,10302.9
58846,20220321054436,18.2,1022.4,7,1,12.7,0.8,10416.8
58847,20220321054436,27.3,1021.1,75,39,14.3,0.2,10381.5
