Station ID,Time,Temperature,Relative Humidity,Wind Direction,Wind Speed,Rain Fall,Visibility
58015,20220321054441,19.8,1003.2,60,142,9.1,0.7,10067.2
58102,20220321054441,5.3,1012.1,56,223,8.0,0.6,10080.8
58118,20220321054441,31.4,1009.4,42,315,0.5,1.1,10296.5
58122,20220321054441,17.0,1019.2,37,64,5.9,0.7,10152.0
58203,20220321054441,29.2,1020.1,94,84,5.6,0.4,10043.9
58215,20220321054441,6.3,1026.0,58,269,1.6,0.4,10398.5
58221,20220321054441,32.2,1013.8,78,202,8.0,0.7,10241.7
58225,20220321054441,2.2,1015.3,56,154,11.5,0.0,10480.5
58236,20220321054441,31.1,1024.7,51,288,11.1,1.5,10485.5
58311,20220321054441,6.2,1001.4,23,6,0.5,1.1,10203.2
58314,20220321054441,3.7,1004.3,13,312,13.4,1.4,10133.7
58319,20220321054441,9.4,1022.0,86,321,7.3,0.4,10448.3
58321,20220321054441,9.8,1020.9,67,317,2.4,0.8,10422.1
58326,20220321054441,16.3,1025.1,83,106,6.5,0.9,10487.6
58336,20220321054441,17.0,1004.1,61,188,3.0,1.3,10198.2
58338,20220321054441,2.7,1006.2,88,310,3.2,0.8,10109.6
58414,20220321054441,29.8,1014.5,79,277,0.1,0.8,10264.1
58419,20220321054441,1.0,1026.0,74,272,13.1,1.1,10210.3
58424,20220321054441,20.0,1005.2,44,63,9.9,0.7,10469.1
58429,20220321054441,26.5,1009.8,44,299,14.7,0.7,10331.8
58436,20220321054441,21.5,1012.2,13,126,2.4,1.0,10305.0
58437,20220321054441,3.2,1016.7,52,283,5.4,0.0,10241.4
58520,20220321054441,26.4,1005.4,39,185,4.4,0.9,10407.0
58531,20220321054441,18.9,1008.0,32,38,1.5,1.1,10404.5
54406,20220321054441,29.8,1016.8,7,252,1.7,0.2,10175.4
54416,20220321054441,21.6,1010.5,68,300,4.9,1.4,10484.3
54511,20220321054441,0.7,1000.9,92,280,2.3,1.0,10032.9
58725,20220321054441,26.3,1026.3,39,74,9.8,0.6,10088.9
58730,20220321054441,24.1,1024.0,70,359,5.5,1.1,10152.4
58731,20220321054441,30.0,1009.7,7,354,10.8,1.3,10077.2
58734,20220321054441,17.0,1015.8,11,133,3.7,0.9,10424.8
58737,20220321054441,3.2,1011.5,84,52,9.9,0.2,10120.2
58744,20220321054441,12.0,1019.4,92,325,9.1,0.1,10216.3
58754,20220321054441,31.1,1003.2,69,240,9.0,0.6,10138.5
58818,20220321054441,18.7,1000.5,74,69,4.5,0.7,10102.5
58820,20220321054441,11.4,1016.9,81,180,2.4,0.7,10440.2
58834,20220321054441,34.5,1024.4,84,223,8.3,1.5,10487.7
58837,20220321054441,29.5,1026.0,86,102,8.2,0.9,10292.1
